serverid,timestamp,cpu_usage,memory_usage,disk_usage,network_latency
srv-001,2025-08-09 13:01:00,35.721832959372364,61.136600855679625,65.79344211689573,55.06845072643126
srv-001,2025-08-09 13:06:00,42.73864718939854,65.25408593032616,65.69770438703361,26.95573793367479
srv-001,2025-08-09 13:11:00,47.28387161495337,67.44185961376559,57.135403984510134,31.555490666969163
srv-001,2025-08-09 13:16:00,33.50543443075806,61.97316147287588,58.8100455899084,30.829126388143262
srv-001,2025-08-09 13:21:00,42.12706502368008,63.968242134226955,72.36137362719894,33.74589141408951
srv-001,2025-08-09 13:26:00,37.4626278485591,59.87958065086016,59.110240840766394,39.14987237889245
srv-001,2025-08-09 13:31:00,39.40192841067474,56.932021950614576,56.58062599857044,34.42637915667437
srv-001,2025-08-09 13:36:00,33.717876404043864,60.231379864648616,63.494654841653535,30.51690818824175
srv-001,2025-08-09 13:41:00,37.00018646491889,59.96210078040036,66.21485276646547,34.994282672484644
srv-001,2025-08-09 13:46:00,47.345714630166555,60.034441650781154,59.92238925608477,50.518495837467896
srv-001,2025-08-09 13:51:00,47.520259283930876,58.69764753526275,57.98877270172253,44.00570894136609
srv-001,2025-08-09 13:56:00,46.85449098712451,58.66909550197954,66.25195549243719,46.811317760212546
srv-001,2025-08-09 14:01:00,38.47547511203275,57.79901720150367,59.18936987631307,44.38136653990325
srv-001,2025-08-09 14:06:00,34.19118403568315,65.09773090449276,60.65835325845156,45.504559256583796
srv-001,2025-08-09 14:11:00,41.78313597252241,53.17358349703261,68.3235344788315,48.32235316263182
srv-001,2025-08-09 14:16:00,32.79963723704707,52.87093230209553,61.249370886158275,24.085354690783035
srv-001,2025-08-09 14:21:00,42.99457794557499,61.31316372174375,59.2819326808002,35.45155782347786
srv-001,2025-08-09 14:26:00,36.495587719939266,59.48629622859404,63.053735181192664,33.24530650433867
srv-001,2025-08-09 14:31:00,39.02780938971639,65.62386105379906,60.237146436255955,33.56515363070244
srv-001,2025-08-09 14:36:00,30.837708044219074,67.14381210884541,59.484433059533984,43.25827708721466
srv-001,2025-08-09 14:41:00,31.9056215458641,65.2992294157929,59.76330632418778,44.10149502039739
srv-001,2025-08-09 14:46:00,45.17212871407525,58.52008550851241,62.800572926708455,36.078924451377695
srv-001,2025-08-09 14:51:00,41.17336754745308,59.92673085478312,67.29507999798169,53.12845382599298
srv-001,2025-08-09 14:56:00,30.65601638372216,58.288215097363754,61.81230113441606,33.46223193262513
srv-001,2025-08-09 15:01:00,36.50129643224787,56.26063776074533,59.93582770815746,44.235753248813225
srv-001,2025-08-09 15:06:00,42.79666552593016,58.438055637685316,66.89684044276373,36.59542382640394
srv-001,2025-08-09 15:11:00,44.03153541960633,56.590523051653165,68.01095646429457,37.483211350691576
srv-001,2025-08-09 15:16:00,44.13590460547303,60.50337394039909,66.28062505720479,47.99816641720513
srv-001,2025-08-09 15:21:00,45.729937128564124,62.31216503842157,65.172246347093,45.787941680318525
srv-001,2025-08-09 15:26:00,47.71840292082237,58.457911459559355,60.46999665741925,36.616540169976105
srv-001,2025-08-09 15:31:00,32.77026150697736,58.12931325074227,64.71864626769458,33.43518148365582
srv-001,2025-08-09 15:36:00,40.55472850867189,65.36163985048488,63.54400091202544,38.86243206803845
srv-001,2025-08-09 15:41:00,30.383451905332215,62.42732330070661,64.42488784658427,31.325833396339295
srv-001,2025-08-09 15:46:00,39.80660298568003,55.55249013372383,67.16799184271812,40.65295360572909
srv-001,2025-08-09 15:51:00,36.6850531966857,55.44838252497063,63.913188131013676,34.13443352009943
srv-001,2025-08-09 15:56:00,34.437753529559146,56.510670624970004,57.974990562036446,52.46739589509053
srv-001,2025-08-09 16:01:00,37.991331474196464,57.72299198325882,63.007417432204754,46.17983146425688
srv-001,2025-08-09 16:06:00,35.35898065577238,55.87984251591696,58.94060737183602,30.94582150449508
srv-001,2025-08-09 16:11:00,51.477108516132056,59.46441712381601,62.66905559561916,42.545164198650525
srv-001,2025-08-09 16:16:00,31.89243122902283,45.535169954459114,57.15890168937629,36.99506022181175
srv-001,2025-08-09 16:21:00,28.02960573387068,56.37279060870257,63.291859572923826,31.138090330301477
srv-001,2025-08-09 16:26:00,36.74667442974948,67.16176491031887,62.93494606570114,29.6703260127789
srv-001,2025-08-09 16:31:00,32.811670449878015,55.66427532798044,63.51886950423186,36.91633556118857
srv-001,2025-08-09 16:36:00,40.652056014085005,67.29346191856487,61.884963567070315,43.14599887789351
srv-001,2025-08-09 16:41:00,52.7637181831436,65.69279336930454,63.91224050840359,51.2510711990683
srv-001,2025-08-09 16:46:00,28.14546907082112,57.34564673334574,55.444144218309006,51.1155187821915
srv-001,2025-08-09 16:51:00,38.10297369772959,61.67301708774247,70.53862014782834,35.21658318122877
srv-001,2025-08-09 16:56:00,38.1691682314536,51.51167627359044,61.99330070076175,34.35016600739309
srv-001,2025-08-09 17:01:00,37.88404457431081,52.22318200692326,62.755635114130435,36.36224125328223
srv-001,2025-08-09 17:06:00,34.871137837302435,55.34521988729352,60.17057078223165,26.23146448987979
srv-001,2025-08-09 17:11:00,41.47770672853662,57.750429513228795,59.03290847632502,41.604326722545856
srv-001,2025-08-09 17:16:00,41.104786318606415,55.56650237443009,65.58086518820917,34.05699840698116
srv-001,2025-08-09 17:21:00,43.493710278991706,67.98530162812193,62.94870148246514,42.73701654278881
srv-001,2025-08-09 17:26:00,46.951811735824535,55.57075284938959,59.975029022518676,45.398843130461486
srv-001,2025-08-09 17:31:00,33.184429677561575,57.720154401624875,64.94242912296292,34.07147574222426
srv-001,2025-08-09 17:36:00,39.52009582908481,65.03561149967237,70.10266224843478,39.48144290015329
srv-001,2025-08-09 17:41:00,37.324934749991534,50.178986341074676,59.85783627709186,42.29797408592719
srv-001,2025-08-09 17:46:00,39.04769847222641,65.79140438296264,65.5567835734828,46.31110722052698
srv-001,2025-08-09 17:51:00,40.503878997133384,53.866756926669304,59.37480929308722,44.95568539875
srv-001,2025-08-09 17:56:00,31.111392848801998,56.53746301893817,64.2141943362501,38.01448333128566
srv-001,2025-08-09 18:01:00,45.95709634328389,62.82916149610105,64.86109488188006,40.315953628810085
srv-001,2025-08-09 18:06:00,44.24766469762211,64.92697775551545,63.37359114573003,43.4638808107013
srv-001,2025-08-09 18:11:00,36.284544532164354,54.70515596906248,64.85868025466704,33.27214393634892
srv-001,2025-08-09 18:16:00,40.03894430872943,55.98210739944843,67.40959309688463,39.30743043259043
srv-001,2025-08-09 18:21:00,31.333324279424872,57.98059845253143,61.273038526119684,28.38231686511447
srv-001,2025-08-09 18:26:00,36.93469941962993,57.36251164337316,55.990194732858626,30.181662140263054
